,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-05-01,木,0.0,1.0,12,8.0,4,3.0,2.0,5.0,5.0,7.0,9.0,9.0,21.0,4.0,0.0,0.0
2025-05-02,金,0.0,0.0,6,7.0,6,0.0,0.0,1.0,1.0,7.0,16.0,5.0,17.0,10.0,0.0,0.0
2025-05-03,土,0.0,0.0,13,15.0,14,3.0,2.0,2.0,16.0,13.0,20.0,9.0,5.0,10.0,0.0,0.0
2025-05-04,日,0.0,0.0,13,28.0,15,6.0,2.0,1.0,11.0,25.0,18.0,9.0,6.0,2.0,0.0,0.0
2025-05-07,水,0.0,0.0,10,5.0,2,12.0,11.0,0.0,5.0,7.0,2.0,4.0,14.0,3.0,0.0,0.0
2025-05-08,木,0.0,0.0,8,8.0,3,0.0,2.0,1.0,1.0,3.0,5.0,9.0,23.0,7.0,0.0,0.0
2025-05-09,金,0.0,0.0,7,4.0,1,0.0,0.0,0.0,1.0,3.0,6.0,8.0,1.0,10.0,0.0,0.0
2025-05-10,土,0.0,0.0,24,12.0,23,2.0,0.0,1.0,11.0,16.0,17.0,6.0,15.0,9.0,0.0,0.0
2025-05-11,日,0.0,1.0,20,20.0,7,0.0,2.0,0.0,10.0,23.0,15.0,10.0,0.0,0.0,0.0,0.0
2025-05-14,水,0.0,3.0,10,5.0,3,2.0,3.0,0.0,5.0,7.0,3.0,14.0,6.0,7.0,0.0,0.0
2025-05-15,木,0.0,0.0,3,4.0,3,5.0,1.0,2.0,2.0,7.0,2.0,16.0,14.0,9.0,0.0,0.0
2025-05-16,金,0.0,0.0,13,17.0,5,1.0,2.0,0.0,4.0,4.0,10.0,7.0,9.0,1.0,0.0,0.0
2025-05-17,土,0.0,2.0,11,5.0,3,1.0,0.0,4.0,5.0,15.0,10.0,4.0,19.0,15.0,0.0,0.0
2025-05-18,日,0.0,1.0,16,19.0,6,6.0,0.0,1.0,5.0,9.0,11.0,15.0,0.0,0.0,0.0,0.0
2025-05-21,水,0.0,1.0,6,7.0,2,3.0,11.0,0.0,6.0,8.0,4.0,8.0,3.0,8.0,0.0,0.0
2025-05-22,木,0.0,2.0,4,0.0,6,3.0,2.0,1.0,0.0,4.0,8.0,11.0,7.0,12.0,0.0,0.0
2025-05-23,金,0.0,0.0,4,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-24,土,0.0,0.0,9,14.0,2,2.0,3.0,5.0,4.0,8.0,11.0,9.0,9.0,2.0,0.0,7.0
2025-05-25,日,0.0,3.0,10,11.0,10,3.0,11.0,0.0,4.0,19.0,19.0,4.0,5.0,0.0,0.0,0.0
2025-05-28,水,0.0,5.0,9,5.0,3,0.0,0.0,1.0,6.0,7.0,2.0,11.0,13.0,2.0,0.0,0.0
2025-05-29,木,0.0,1.0,1,4.0,1,2.0,1.0,0.0,4.0,4.0,9.0,4.0,6.0,4.0,0.0,0.0
2025-05-30,金,0.0,0.0,3,13.0,14,4.0,1.0,4.0,1.0,4.0,6.0,20.0,14.0,3.0,0.0,0.0
2025-05-31,土,0.0,0.0,10,4.0,6,1.0,1.0,2.0,3.0,12.0,17.0,14.0,19.0,22.0,0.0,5.0
