,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-01-06,金,0.0,2.0,14,15,4,0.0,0.0,0.0,4,4,7,11,1.0,0.0,0.0
2023-01-07,土,0.0,0.0,19,15,14,0.0,0.0,0.0,5,19,5,5,5.0,1.0,0.0
2023-01-08,日,0.0,2.0,9,16,11,2.0,0.0,2.0,3,8,8,17,0.0,0.0,0.0
2023-01-11,水,0.0,1.0,19,10,1,0.0,0.0,0.0,3,9,6,9,4.0,4.0,0.0
2023-01-12,木,0.0,2.0,5,19,6,0.0,0.0,0.0,5,8,7,5,5.0,0.0,0.0
2023-01-13,金,0.0,2.0,8,11,4,0.0,0.0,1.0,2,4,10,12,2.0,0.0,0.0
2023-01-14,土,0.0,2.0,6,7,11,5.0,0.0,0.0,2,10,3,6,5.0,2.0,0.0
2023-01-15,日,0.0,2.0,10,8,15,0.0,0.0,1.0,4,8,7,7,1.0,0.0,0.0
2023-01-18,水,0.0,1.0,8,14,1,0.0,0.0,1.0,1,8,10,5,9.0,1.0,0.0
2023-01-19,木,0.0,2.0,13,3,8,1.0,0.0,0.0,1,3,8,8,5.0,2.0,0.0
2023-01-20,金,0.0,0.0,11,11,6,0.0,0.0,0.0,6,4,8,9,11.0,2.0,0.0
2023-01-21,土,0.0,2.0,5,19,12,0.0,0.0,1.0,3,10,8,10,7.0,2.0,0.0
2023-01-22,日,0.0,1.0,11,17,16,0.0,0.0,0.0,5,8,8,6,0.0,0.0,0.0
2023-01-25,水,0.0,0.0,19,9,4,0.0,0.0,1.0,2,3,4,4,7.0,6.0,0.0
2023-01-26,木,0.0,0.0,8,5,4,0.0,0.0,0.0,4,8,5,5,6.0,5.0,0.0
2023-01-27,金,0.0,0.0,14,13,1,0.0,0.0,0.0,3,7,10,12,4.0,2.0,0.0
2023-01-28,土,0.0,0.0,17,12,6,1.0,0.0,0.0,2,12,9,11,1.0,4.0,0.0
2023-01-29,日,0.0,2.0,13,24,13,0.0,0.0,0.0,17,11,6,2,2.0,0.0,0.0
