,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-10-02,水,0.0,1.0,6,16,3,5.0,0.0,1.0,3.0,9,9,7.0,11.0,3.0,0.0,0.0
2024-10-03,木,0.0,0.0,4,10,3,0.0,0.0,2.0,0.0,9,9,4.0,9.0,6.0,0.0,0.0
2024-10-04,金,0.0,1.0,7,5,1,0.0,0.0,1.0,3.0,7,12,20.0,7.0,20.0,0.0,0.0
2024-10-05,土,0.0,0.0,19,17,10,11.0,1.0,0.0,12.0,15,13,25.0,3.0,5.0,0.0,2.0
2024-10-06,日,0.0,2.0,14,43,14,4.0,2.0,2.0,13.0,16,26,9.0,5.0,0.0,0.0,0.0
2024-10-09,水,0.0,1.0,8,6,5,1.0,1.0,2.0,4.0,11,14,8.0,12.0,3.0,0.0,0.0
2024-10-10,木,0.0,0.0,15,5,6,0.0,0.0,3.0,1.0,7,6,5.0,6.0,11.0,0.0,0.0
2024-10-11,金,0.0,1.0,8,12,4,1.0,0.0,1.0,3.0,6,15,20.0,12.0,14.0,0.0,0.0
2024-10-12,土,0.0,0.0,13,26,20,0.0,3.0,4.0,0.0,13,5,11.0,5.0,5.0,0.0,0.0
2024-10-13,日,0.0,2.0,21,26,15,3.0,0.0,3.0,4.0,9,23,10.0,9.0,1.0,0.0,0.0
2024-10-16,水,0.0,0.0,9,13,2,2.0,1.0,0.0,4.0,8,4,13.0,15.0,4.0,0.0,0.0
2024-10-17,木,0.0,0.0,11,13,4,1.0,0.0,2.0,8.0,6,2,7.0,13.0,3.0,0.0,0.0
2024-10-18,金,0.0,0.0,10,7,2,0.0,0.0,2.0,2.0,8,20,14.0,12.0,5.0,0.0,0.0
2024-10-19,土,0.0,0.0,8,8,15,1.0,2.0,0.0,3.0,13,16,8.0,6.0,3.0,0.0,0.0
2024-10-20,日,0.0,0.0,14,27,21,1.0,0.0,8.0,3.0,6,32,9.0,0.0,0.0,0.0,0.0
2024-10-23,水,0.0,2.0,18,4,3,8.0,1.0,2.0,6.0,6,5,16.0,19.0,10.0,0.0,4.0
2024-10-24,木,0.0,1.0,8,15,11,6.0,0.0,0.0,1.0,8,2,6.0,12.0,5.0,0.0,0.0
2024-10-25,金,0.0,3.0,6,9,2,0.0,0.0,2.0,3.0,11,12,11.0,8.0,2.0,0.0,0.0
2024-10-26,土,0.0,1.0,16,26,15,6.0,6.0,3.0,12.0,11,9,19.0,8.0,3.0,0.0,0.0
2024-10-27,日,0.0,10.0,19,14,9,6.0,7.0,12.0,13.0,11,3,0.0,1.0,1.0,0.0,0.0
2024-10-30,水,0.0,0.0,7,13,15,3.0,1.0,0.0,3.0,7,6,4.0,4.0,2.0,0.0,0.0
2024-10-31,木,0.0,2.0,14,9,6,2.0,3.0,1.0,3.0,11,16,6.0,11.0,12.0,0.0,0.0
