,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時,01時
2024-12-01,日,0.0,0.0,27,13,18.0,3.0,3.0,0.0,5.0,4,16,14,0.0,0.0,0.0,0.0,0.0
2024-12-04,水,0.0,0.0,17,28,8.0,0.0,1.0,0.0,3.0,7,12,7,4.0,5.0,0.0,0.0,0.0
2024-12-05,木,0.0,1.0,13,10,9.0,3.0,5.0,2.0,2.0,6,4,10,9.0,4.0,0.0,0.0,0.0
2024-12-06,金,0.0,0.0,9,12,0.0,2.0,0.0,0.0,4.0,10,14,11,9.0,7.0,0.0,0.0,0.0
2024-12-07,土,0.0,0.0,17,9,17.0,9.0,1.0,3.0,4.0,7,6,12,6.0,5.0,0.0,0.0,0.0
2024-12-08,日,0.0,0.0,18,25,8.0,7.0,1.0,4.0,9.0,14,6,8,0.0,0.0,0.0,0.0,0.0
2024-12-11,水,0.0,1.0,16,4,8.0,1.0,1.0,0.0,7.0,10,4,3,16.0,2.0,0.0,0.0,0.0
2024-12-12,木,0.0,1.0,10,7,7.0,0.0,0.0,0.0,4.0,9,13,7,13.0,14.0,0.0,2.0,0.0
2024-12-13,金,0.0,1.0,7,10,11.0,0.0,2.0,2.0,6.0,10,10,16,15.0,7.0,0.0,0.0,0.0
2024-12-14,土,0.0,2.0,14,4,6.0,3.0,0.0,1.0,5.0,7,7,13,5.0,3.0,0.0,0.0,0.0
2024-12-15,日,0.0,0.0,32,23,15.0,11.0,2.0,1.0,10.0,15,3,17,0.0,0.0,0.0,0.0,0.0
2024-12-18,水,0.0,5.0,14,11,1.0,2.0,0.0,1.0,8.0,7,8,5,6.0,10.0,0.0,0.0,0.0
2024-12-19,木,0.0,1.0,8,8,6.0,0.0,3.0,0.0,8.0,3,17,5,15.0,4.0,0.0,0.0,0.0
2024-12-20,金,0.0,1.0,8,3,4.0,0.0,0.0,2.0,6.0,10,16,17,12.0,5.0,0.0,1.0,0.0
2024-12-21,土,0.0,0.0,7,16,4.0,3.0,0.0,1.0,11.0,16,18,23,16.0,0.0,0.0,0.0,0.0
2024-12-22,日,0.0,0.0,15,32,7.0,4.0,0.0,0.0,9.0,10,5,7,10.0,0.0,0.0,0.0,0.0
2024-12-25,水,0.0,2.0,10,13,7.0,4.0,0.0,11.0,13.0,3,16,8,7.0,7.0,0.0,0.0,0.0
2024-12-26,木,0.0,2.0,8,5,10.0,1.0,4.0,2.0,5.0,14,11,6,19.0,10.0,0.0,1.0,0.0
2024-12-27,金,0.0,1.0,16,9,1.0,3.0,4.0,1.0,11.0,12,9,16,16.0,17.0,0.0,0.0,0.0
2024-12-28,土,0.0,0.0,10,10,5.0,1.0,7.0,3.0,0.0,19,11,11,11.0,7.0,0.0,2.0,1.0
2024-12-29,日,0.0,1.0,19,15,5.0,33.0,3.0,4.0,0.0,29,5,12,4.0,0.0,0.0,0.0,0.0
