,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00時
2026-01-01,木,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,6.0,15.0,8.0,3.0,0.0
2026-01-03,土,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0,18.0,3.0,6.0,0.0
2026-01-04,日,0.0,0.0,10.0,17.0,13.0,0.0,1.0,1.0,13.0,7.0,8.0,8.0,13.0,0.0,0.0
2026-01-07,水,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2026-01-08,木,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-10,土,0.0,0.0,16.0,18.0,11.0,8.0,6.0,4.0,13.0,11.0,7.0,8.0,7.0,5.0,0.0
2026-01-11,日,0.0,0.0,21.0,25.0,20.0,7.0,1.0,1.0,5.0,8.0,19.0,7.0,12.0,3.0,0.0
2026-01-14,水,0.0,0.0,3.0,7.0,2.0,4.0,0.0,4.0,0.0,4.0,3.0,4.0,12.0,5.0,1.0
2026-01-15,木,0.0,0.0,1.0,7.0,1.0,0.0,1.0,2.0,4.0,5.0,7.0,5.0,3.0,0.0,0.0
2026-01-16,金,0.0,1.0,9.0,2.0,4.0,2.0,4.0,2.0,10.0,18.0,12.0,10.0,15.0,8.0,1.0
2026-01-17,土,0.0,0.0,7.0,11.0,23.0,2.0,3.0,0.0,3.0,14.0,22.0,1.0,3.0,2.0,0.0
2026-01-18,日,0.0,0.0,15.0,18.0,29.0,9.0,0.0,0.0,11.0,16.0,7.0,12.0,0.0,0.0,0.0
2026-01-21,水,1.0,0.0,7.0,12.0,3.0,9.0,1.0,1.0,4.0,12.0,19.0,9.0,14.0,6.0,0.0
2026-01-22,木,0.0,0.0,6.0,1.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,10.0,2.0,0.0,0.0
2026-01-23,金,0.0,2.0,3.0,6.0,2.0,1.0,2.0,1.0,8.0,9.0,10.0,16.0,14.0,3.0,0.0
2026-01-24,土,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,26.0,0.0,21.0,10.0,5.0,3.0,0.0
2026-01-25,日,0.0,3.0,6.0,9.0,7.0,3.0,2.0,3.0,7.0,6.0,14.0,12.0,2.0,0.0,0.0
2026-01-28,水,0.0,0.0,3.0,8.0,2.0,3.0,0.0,0.0,1.0,6.0,7.0,14.0,9.0,14.0,1.0
2026-01-29,木,0.0,0.0,7.0,2.0,5.0,2.0,1.0,1.0,3.0,6.0,2.0,7.0,1.0,1.0,0.0
2026-01-30,金,0.0,1.0,11.0,6.0,4.0,0.0,1.0,3.0,13.0,14.0,11.0,12.0,5.0,8.0,2.0
2026-01-31,土,0.0,0.0,11.0,10.0,5.0,1.0,3.0,1.0,5.0,15.0,8.0,9.0,12.0,3.0,0.0
