,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-03-01,水,0.0,2340.0,7080.0,23110.0,11730.0,1280.0,0.0,0.0,1870.0,7820.0,32180.0,20220.0,4800.0,13410.0,0.0
2023-03-02,木,0.0,3540.0,11420.0,12410.0,3220.0,7410.0,0.0,0.0,18450.0,12420.0,11630.0,2940.0,6430.0,1530.0,0.0
2023-03-03,金,0.0,0.0,11630.0,4580.0,11550.0,0.0,0.0,0.0,0.0,10710.0,31630.0,33860.0,10750.0,7120.0,0.0
2023-03-04,土,0.0,2340.0,8950.0,29620.0,4780.0,0.0,0.0,0.0,5140.0,21650.0,13350.0,9990.0,33900.0,2600.0,0.0
2023-03-05,日,0.0,2190.0,31760.0,41190.0,11760.0,550.0,0.0,0.0,20280.0,21840.0,8150.0,7870.0,0.0,0.0,0.0
2023-03-08,水,0.0,5470.0,18400.0,12370.0,1400.0,550.0,0.0,0.0,7150.0,10000.0,15830.0,8200.0,0.0,1800.0,0.0
2023-03-09,木,0.0,0.0,5970.0,7910.0,5470.0,2840.0,0.0,2490.0,12760.0,6430.0,10240.0,26210.0,48980.0,1100.0,0.0
2023-03-10,金,0.0,0.0,14010.0,10960.0,3240.0,0.0,0.0,0.0,13280.0,8660.0,28700.0,34070.0,24620.0,33740.0,0.0
2023-03-11,土,0.0,2770.0,18050.0,11530.0,22560.0,0.0,100.0,0.0,3470.0,34460.0,20090.0,28080.0,29790.0,1580.0,0.0
2023-03-12,日,0.0,1100.0,32540.0,14310.0,26910.0,560.0,0.0,0.0,990.0,8610.0,26840.0,39480.0,11360.0,0.0,0.0
2023-03-14,火,0.0,0.0,0.0,0.0,0.0,3700.0,3300.0,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-15,水,0.0,930.0,19140.0,16380.0,4920.0,0.0,0.0,0.0,9200.0,13550.0,28150.0,16140.0,14810.0,9230.0,0.0
2023-03-16,木,0.0,0.0,16810.0,14480.0,19710.0,0.0,0.0,0.0,5700.0,4510.0,23290.0,13050.0,9950.0,0.0,0.0
2023-03-17,金,0.0,980.0,24740.0,16310.0,16850.0,0.0,0.0,0.0,3380.0,18240.0,16860.0,12080.0,21450.0,4780.0,0.0
2023-03-18,土,0.0,1060.0,15400.0,15780.0,5580.0,0.0,0.0,0.0,17450.0,21010.0,8450.0,20560.0,14800.0,5110.0,0.0
2023-03-19,日,0.0,1200.0,29050.0,22920.0,15330.0,4740.0,0.0,4260.0,7350.0,13740.0,20340.0,25340.0,0.0,0.0,0.0
2023-03-22,水,0.0,0.0,6530.0,11780.0,10530.0,0.0,0.0,0.0,7520.0,38120.0,12550.0,13320.0,15090.0,3780.0,0.0
2023-03-23,木,0.0,2660.0,14040.0,16730.0,20640.0,0.0,0.0,0.0,1100.0,10780.0,23560.0,8110.0,17340.0,8840.0,0.0
2023-03-24,金,0.0,980.0,14590.0,6870.0,6180.0,0.0,0.0,0.0,8060.0,6950.0,31920.0,27690.0,8770.0,4900.0,0.0
2023-03-25,土,0.0,0.0,10700.0,21000.0,20740.0,0.0,0.0,0.0,3080.0,37340.0,17360.0,41260.0,12120.0,8730.0,0.0
2023-03-26,日,0.0,0.0,32280.0,25530.0,34980.0,0.0,0.0,1100.0,18880.0,4330.0,21640.0,16850.0,10450.0,0.0,0.0
2023-03-29,水,0.0,0.0,27620.0,28900.0,23500.0,0.0,0.0,0.0,21720.0,26360.0,42510.0,20040.0,18450.0,24390.0,0.0
2023-03-30,木,0.0,0.0,15290.0,1820.0,5030.0,0.0,0.0,0.0,6290.0,21590.0,20470.0,19970.0,12890.0,990.0,0.0
2023-03-31,金,0.0,2510.0,23810.0,10450.0,8210.0,0.0,0.0,0.0,4470.0,9030.0,36170.0,12280.0,19380.0,11940.0,0.0
