,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時,01時
2025-10-01,水,0.0,0.0,4400.0,10230.0,950.0,1400.0,9840.0,0.0,2190.0,5510,17390,21360,10550.0,2680.0,0.0,0.0,0.0
2025-10-02,木,0.0,0.0,1210.0,9630.0,17200.0,450.0,13360.0,4560.0,8830.0,8420,10260,17570,14380.0,12310.0,0.0,0.0,0.0
2025-10-03,金,0.0,0.0,11410.0,8410.0,6060.0,0.0,3990.0,3700.0,5130.0,28780,2900,33290,9740.0,17180.0,0.0,0.0,0.0
2025-10-04,土,0.0,1340.0,15190.0,17950.0,6250.0,5950.0,0.0,7610.0,4990.0,36630,11420,16080,23550.0,7110.0,0.0,0.0,0.0
2025-10-05,日,0.0,6110.0,27540.0,30080.0,30690.0,5010.0,0.0,3630.0,18900.0,21750,30890,19460,0.0,0.0,0.0,0.0,0.0
2025-10-08,水,0.0,0.0,18470.0,23470.0,6960.0,3980.0,0.0,0.0,0.0,29730,12540,26860,20810.0,18840.0,0.0,4460.0,0.0
2025-10-09,木,0.0,0.0,19830.0,17780.0,0.0,4940.0,1080.0,6210.0,7870.0,15800,15550,6190,18340.0,0.0,0.0,0.0,0.0
2025-10-10,金,0.0,0.0,8650.0,17860.0,10520.0,0.0,0.0,0.0,4770.0,9020,15910,27530,51050.0,39210.0,0.0,2960.0,0.0
2025-10-11,土,0.0,1060.0,21620.0,39090.0,12570.0,6760.0,2920.0,0.0,28330.0,5470,17440,17210,18930.0,4730.0,0.0,0.0,0.0
2025-10-12,日,0.0,1350.0,14420.0,23960.0,23830.0,3630.0,9410.0,0.0,4310.0,24650,31670,44280,45160.0,6630.0,0.0,16660.0,0.0
2025-10-15,水,0.0,0.0,14210.0,18040.0,4320.0,6980.0,3500.0,5790.0,7530.0,5110,10980,7970,34200.0,7500.0,0.0,0.0,0.0
2025-10-16,木,0.0,3950.0,2460.0,8380.0,11260.0,0.0,1810.0,0.0,5180.0,18150,17430,16720,8950.0,11230.0,0.0,0.0,0.0
2025-10-17,金,0.0,0.0,14040.0,19390.0,3070.0,3560.0,3560.0,0.0,13750.0,4630,16070,29420,28930.0,38520.0,0.0,0.0,1080.0
2025-10-18,土,0.0,2760.0,20770.0,32840.0,27740.0,3100.0,0.0,760.0,22520.0,11010,20350,15910,63570.0,36880.0,0.0,0.0,0.0
2025-10-19,日,0.0,2830.0,13860.0,22320.0,7330.0,4940.0,8670.0,0.0,9060.0,45110,19610,5610,0.0,0.0,0.0,0.0,0.0
2025-10-22,水,0.0,0.0,12440.0,13240.0,3990.0,0.0,0.0,0.0,2650.0,25310,20220,6410,31330.0,1580.0,0.0,0.0,0.0
2025-10-23,木,0.0,0.0,15840.0,8120.0,10560.0,0.0,0.0,2590.0,6990.0,13320,20000,28900,6620.0,10800.0,0.0,0.0,0.0
2025-10-24,金,0.0,0.0,4040.0,16790.0,3280.0,2940.0,0.0,6710.0,7930.0,19610,20570,34560,15720.0,28840.0,0.0,0.0,0.0
2025-10-25,土,0.0,0.0,26640.0,21350.0,21380.0,2740.0,3480.0,11760.0,3160.0,29770,15170,27060,5680.0,2000.0,0.0,0.0,0.0
2025-10-26,日,0.0,0.0,32490.0,11660.0,15700.0,11820.0,21300.0,5090.0,16260.0,30640,36100,7100,0.0,0.0,0.0,0.0,0.0
2025-10-29,水,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5820.0,15300,17400,20230,12280.0,5010.0,0.0,5460.0,0.0
2025-10-30,木,0.0,0.0,25480.0,16220.0,5600.0,2000.0,0.0,3210.0,13330.0,8700,17370,11680,19880.0,38480.0,0.0,0.0,570.0
2025-10-31,金,0.0,0.0,13240.0,15660.0,9320.0,0.0,0.0,1000.0,1380.0,15900,25340,15470,17300.0,11080.0,0.0,7110.0,0.0
