,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-03-01,土,0.0,0.0,24900,16700,23470,3630.0,1210.0,0.0,2840,21430.0,57470,19730,13280.0,9220.0,0.0,0.0
2025-03-02,日,0.0,0.0,13490,31660,12150,4660.0,5670.0,3240.0,13740,18700.0,21840,30990,11260.0,0.0,0.0,0.0
2025-03-05,水,0.0,0.0,10960,11000,13980,3580.0,6280.0,0.0,2050,21120.0,15190,9530,13820.0,2260.0,0.0,0.0
2025-03-06,木,0.0,0.0,20000,43050,4280,6160.0,3640.0,1750.0,6510,15650.0,16280,19870,13000.0,6180.0,0.0,0.0
2025-03-07,金,0.0,1660.0,10300,10320,1490,0.0,3700.0,0.0,2710,27270.0,33290,35350,16320.0,14650.0,0.0,13880.0
2025-03-08,土,0.0,1380.0,34140,40100,13260,1870.0,3100.0,0.0,44090,15080.0,37750,20480,2400.0,1580.0,0.0,0.0
2025-03-09,日,0.0,0.0,24630,13340,14800,7920.0,0.0,3120.0,3750,16170.0,6790,25780,13150.0,0.0,0.0,0.0
2025-03-12,水,0.0,0.0,9610,4780,9500,0.0,0.0,16370.0,12540,6330.0,2460,12180,18350.0,12320.0,0.0,0.0
2025-03-13,木,0.0,1210.0,22040,4310,16580,0.0,0.0,2420.0,8740,13010.0,8820,7830,35600.0,0.0,0.0,0.0
2025-03-14,金,0.0,1210.0,11710,19880,8590,1060.0,0.0,11640.0,5060,26020.0,21200,26980,41330.0,13600.0,0.0,0.0
2025-03-15,土,0.0,0.0,12660,18050,19160,6850.0,0.0,0.0,7050,35770.0,10990,24730,33910.0,1750.0,0.0,0.0
2025-03-16,日,0.0,0.0,27500,40530,14400,102430.0,0.0,4910.0,18010,30130.0,13110,15630,0.0,0.0,0.0,0.0
2025-03-19,水,0.0,0.0,19190,13910,10630,2500.0,0.0,1060.0,4970,21890.0,37720,37310,40560.0,13270.0,0.0,4230.0
2025-03-20,木,0.0,0.0,20890,28160,34850,14860.0,10930.0,5150.0,17560,22360.0,11680,10230,7810.0,7410.0,0.0,0.0
2025-03-21,金,0.0,0.0,12960,30470,10280,0.0,2590.0,0.0,12790,11780.0,14300,19270,11270.0,9530.0,0.0,0.0
2025-03-22,土,0.0,1850.0,21190,23760,25390,0.0,2720.0,13000.0,8420,35450.0,28440,27260,20730.0,4140.0,0.0,0.0
2025-03-23,日,0.0,0.0,24920,29800,18350,2720.0,11760.0,1210.0,17520,20900.0,24480,26440,4740.0,0.0,0.0,0.0
2025-03-26,水,0.0,1880.0,29040,3900,11230,0.0,0.0,0.0,10680,25030.0,7900,33190,15990.0,20350.0,0.0,0.0
2025-03-27,木,0.0,2590.0,18760,13030,5700,0.0,2270.0,0.0,4830,7290.0,12860,9110,13920.0,2630.0,0.0,0.0
2025-03-28,金,0.0,3240.0,9490,16110,7390,6430.0,2420.0,6010.0,11500,23000.0,32580,18620,10990.0,7670.0,0.0,0.0
2025-03-29,土,0.0,2200.0,18240,10780,11650,2700.0,9120.0,1210.0,9870,0.0,26330,18030,20410.0,16980.0,0.0,0.0
2025-03-30,日,0.0,0.0,32500,40380,33320,2600.0,3560.0,8100.0,14840,15900.0,10420,25960,4220.0,0.0,0.0,0.0
