,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00時
2026-01-01,木,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7560.0,26440.0,11080.0,44640.0,10470.0,6060.0,0.0
2026-01-03,土,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10870.0,29820.0,22790.0,75930.0,6760.0,6750.0,0.0
2026-01-04,日,0.0,0.0,11740.0,26520.0,27470.0,0.0,2570.0,2180.0,28430.0,15180.0,38730.0,18250.0,11840.0,0.0,0.0
2026-01-07,水,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,0.0
2026-01-08,木,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-10,土,0.0,0.0,22800.0,23460.0,16320.0,10700.0,8480.0,8680.0,21720.0,17610.0,23140.0,11790.0,13950.0,21800.0,0.0
2026-01-11,日,0.0,0.0,31750.0,39070.0,24320.0,15080.0,2030.0,200.0,8770.0,26340.0,48950.0,12700.0,25340.0,10330.0,0.0
2026-01-14,水,0.0,0.0,4890.0,13700.0,2990.0,6290.0,0.0,8870.0,0.0,8420.0,6820.0,8440.0,24290.0,8390.0,8330.0
2026-01-15,木,0.0,0.0,3450.0,12780.0,1370.0,0.0,970.0,2820.0,5370.0,6950.0,13020.0,6960.0,8380.0,0.0,0.0
2026-01-16,金,0.0,1730.0,13740.0,3800.0,8530.0,3840.0,4640.0,3910.0,20500.0,45440.0,17240.0,21570.0,25390.0,29520.0,2760.0
2026-01-17,土,0.0,0.0,12080.0,19450.0,34280.0,3320.0,4510.0,0.0,3380.0,28070.0,30490.0,3230.0,7760.0,10080.0,0.0
2026-01-18,日,0.0,0.0,18390.0,25980.0,46300.0,11480.0,0.0,0.0,12000.0,36560.0,14620.0,25380.0,0.0,0.0,0.0
2026-01-21,水,1930.0,0.0,9740.0,19070.0,6990.0,10040.0,1240.0,1240.0,9070.0,18510.0,57020.0,18030.0,24710.0,8360.0,0.0
2026-01-22,木,0.0,0.0,6590.0,1430.0,6560.0,2680.0,2620.0,3520.0,3110.0,8540.0,15510.0,21230.0,5920.0,0.0,0.0
2026-01-23,金,0.0,2510.0,3640.0,10880.0,3170.0,1240.0,5440.0,2160.0,14640.0,18280.0,34860.0,28620.0,29260.0,15870.0,0.0
2026-01-24,土,0.0,0.0,23620.0,27360.0,0.0,0.0,0.0,0.0,143000.0,0.0,33750.0,16310.0,10230.0,7180.0,0.0
2026-01-25,日,0.0,4440.0,7630.0,14400.0,10400.0,4380.0,4750.0,5070.0,13950.0,18590.0,32900.0,28210.0,10030.0,0.0,0.0
2026-01-28,水,0.0,0.0,4040.0,8080.0,5380.0,3410.0,0.0,0.0,1240.0,9360.0,21210.0,25320.0,17160.0,42020.0,1910.0
2026-01-29,木,0.0,0.0,11850.0,2930.0,9550.0,1920.0,1970.0,2600.0,7760.0,9960.0,2100.0,12060.0,1720.0,3810.0,0.0
2026-01-30,金,0.0,1240.0,20740.0,11790.0,7740.0,0.0,1920.0,3910.0,19990.0,20450.0,28740.0,29910.0,10070.0,18320.0,2830.0
2026-01-31,土,0.0,0.0,23340.0,15330.0,5920.0,1570.0,3720.0,2990.0,18790.0,38270.0,19340.0,16920.0,18100.0,3580.0,0.0
