日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,,,
2023/11/1,水,晴,13℃,24℃,"¥14,600",11人,"¥1,327.27","¥6,230","¥92,620",59人,"¥1,569.83","¥57,460","¥107,220",70人,"¥1,532","¥63,690","¥6,123","¥2,640",,¥780,"¥9,543",,,,,,
2023/11/2,木,晴,11℃,25℃,"¥15,460",21人,¥736.19,"¥8,070","¥130,380",80人,"¥1,629.75","¥67,400","¥145,840",101人,"¥1,444","¥75,470",¥644,,,,¥644,,,,,,
2023/11/3,金,晴,13℃,25℃,"¥64,750",47人,"¥1,377.66","¥36,960","¥101,350",53人,"¥1,912.26","¥73,590","¥166,100",100人,"¥1,661","¥110,550","¥11,770",,,,"¥11,770",,,,,,
2023/11/4,土,晴,14℃,25℃,"¥86,700",63人,"¥1,376.19","¥66,080","¥118,160",62人,"¥1,905.81","¥50,990","¥204,860",125人,"¥1,639","¥117,070","¥19,800",,,,"¥19,800",,,,,,
2023/11/5,日,晴,15℃,27℃,"¥64,580",40人,"¥1,614.50","¥25,790","¥123,160",51人,"¥2,414.90","¥95,790","¥187,740",91人,"¥2,063","¥121,580","¥2,081",,,,"¥2,081",,,,,,
2023/11/6,月,晴,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/11/7,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/11/8,水,晴,11℃,22℃,"¥21,240",13人,"¥1,633.85","¥10,120","¥95,070",51人,"¥1,864.12","¥67,720","¥116,310",64人,"¥1,817","¥77,840","¥28,840",,,,"¥28,840",,,,,,
2023/11/9,木,曇り,12℃,24℃,"¥45,950",37人,"¥1,241.89","¥30,690","¥68,010",36人,"¥1,889.17","¥25,560","¥113,960",73人,"¥1,561","¥56,250","¥9,960",,,,"¥9,960",,,,,,
2023/11/10,金,雨/曇り,15℃,19℃,"¥23,200",18人,"¥1,288.89","¥9,670","¥97,920",45人,"¥2,176.00","¥63,450","¥121,120",63人,"¥1,923","¥73,120","¥4,260",,,,"¥4,260",,,,,,
2023/11/11,土,曇り,13℃,16℃,"¥74,560",52人,"¥1,433.85","¥34,690","¥100,290",45人,"¥2,228.67","¥35,550","¥174,850",97人,"¥1,803","¥70,240",,¥220,,,¥220,,,,,,
