日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/2/1,水,曇り,-2℃,11℃,"¥39,990",30人,"¥1,333.00","¥12,680","¥111,640",48人,"¥2,325.83","¥76,350","¥151,630",78人,"¥1,944","¥89,030",,,,¥960,¥960,,,,
2023/2/2,木,曇り,2℃,8℃,"¥31,550",25人,"¥1,262.00","¥18,380","¥68,240",39人,"¥1,749.74","¥29,610","¥99,790",64人,"¥1,559","¥47,990",,,,,¥0,,,,
2023/2/3,金,晴,0℃,8℃,"¥41,480",31人,"¥1,338.06","¥20,690","¥88,120",44人,"¥2,002.73","¥25,560","¥129,600",75人,"¥1,728","¥46,250",,,,,¥0,,,,
2023/2/4,土,晴,-1℃,11℃,"¥75,320",56人,"¥1,345.00","¥34,040","¥71,080",38人,"¥1,870.53","¥36,730","¥146,400",94人,"¥1,557","¥70,770",,,,,¥0,,,,
2023/2/5,日,晴,0℃,11℃,"¥54,860",48人,"¥1,142.92","¥34,690","¥80,730",57人,"¥1,416.32","¥36,070","¥135,590",105人,"¥1,291","¥70,760",,,,,¥0,,,,
2023/2/6,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/2/7,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/2/8,水,曇り,1℃,10℃,"¥21,200",16人,"¥1,325.00","¥6,010","¥67,750",46人,"¥1,472.83","¥37,324","¥88,950",62人,"¥1,435","¥43,334","¥4,180",,,,"¥4,180",,,,
2023/2/9,木,晴,0℃,10℃,"¥38,300",27人,"¥1,418.52","¥13,220","¥66,080",50人,"¥1,321.60","¥33,310","¥104,380",77人,"¥1,356","¥46,530","¥49,332",¥398,,,"¥49,730",,,,
2023/2/10,金,雨,3℃,9℃,"¥26,350",20人,"¥1,317.50","¥8,340","¥89,710",42人,"¥2,135.95","¥42,000","¥116,060",62人,"¥1,872","¥50,340","¥1,367",,,,"¥1,367",,,,
2023/2/11,土,曇り,6℃,14℃,"¥85,670",61人,"¥1,404.43","¥51,050","¥95,550",51人,"¥1,873.53","¥32,888","¥181,220",112人,"¥1,618","¥83,938",,,,,¥0,,,,
2023/2/12,日,晴,4℃,16℃,"¥81,690",59人,"¥1,384.58","¥46,462","¥75,220",49人,"¥1,535.10","¥36,450","¥156,910",108人,"¥1,453","¥82,912",,¥220,,,¥220,,,,
2023/2/13,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
