日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,,,,
2024/8/1,木,晴,26℃,37℃,"¥53,690",33人,"¥1,626.97","¥25,200","¥120,630",69人,"¥1,748.26","¥83,420","¥174,320",102人,"¥1,709","¥108,620",,,,,¥0,,,,,,,
2024/8/2,金,晴,27℃,38℃,"¥31,880",20人,"¥1,594.00","¥17,010","¥116,660",54人,"¥2,160.37","¥62,010","¥148,540",74人,"¥2,007","¥79,020","¥9,900",,,,"¥9,900",,,,,,,
2024/8/3,土,晴,28℃,37℃,"¥79,260",47人,"¥1,686.38","¥38,710","¥161,360",78人,"¥2,068.72","¥124,190","¥240,620",125人,"¥1,925","¥162,900",,,,,¥0,,,,,,,
2024/8/4,日,雨/晴,29℃,38℃,"¥96,460",71人,"¥1,358.59","¥56,270","¥92,690",55人,"¥1,685.27","¥54,990","¥189,150",126人,"¥1,501","¥111,260","¥5,050",,,,"¥5,050",,,,,,,
2024/8/5,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/8/6,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/8/7,水,晴/曇り,26℃,37℃,"¥46,260",31人,"¥1,492.26","¥19,450","¥115,780",66人,"¥1,754.24","¥51,150","¥162,040",97人,"¥1,671","¥70,600","¥12,485",,,"¥19,590","¥32,075",,,,,,,
2024/8/8,木,晴,24℃,36℃,"¥31,570",22人,"¥1,435.00","¥17,650","¥71,910",40人,"¥1,797.75","¥40,900","¥103,480",62人,"¥1,669","¥58,550","¥15,698",,,,"¥15,698",,,,,,,
2024/8/9,金,晴,26℃,36℃,"¥41,100",23人,"¥1,786.96","¥20,980","¥144,810",57人,"¥2,540.53","¥57,490","¥185,910",80人,"¥2,324","¥78,470",,,,,¥0,,,,,,,
2024/8/10,土,晴,25℃,34℃,"¥67,670",45人,"¥1,503.78","¥51,730","¥81,980",51人,"¥1,607.45","¥41,970","¥149,650",96人,"¥1,559","¥93,700","¥28,800",,,,"¥28,800",,,,,,,
2024/8/11,日,曇り,25℃,35℃,"¥55,180",41人,"¥1,345.85","¥25,930","¥90,520",61人,"¥1,483.93","¥61,670","¥145,700",102人,"¥1,428","¥87,600","¥5,622",,,,"¥5,622",,,,,,,
2024/8/12,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/8/13,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,,,,
