日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,食材（現金）,その他（現金）計,食材（カード）,食材（請求書）,通販食材（納品書）,飲料（現金/請求書）,仕入れ合計,,,,,,,
2025/1/1,水,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/1/2,木,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/1/3,金,晴,2℃,12℃,¥0,0人,#DIV/0!,¥0,"¥132,410",59人,"¥2,244","¥102,220","¥132,410",59人,"¥2,244","¥102,220",,,,,,,¥0,,,,,,,
2025/1/4,土,晴,0℃,10℃,"¥59,070",45人,"¥1,313","¥26,240","¥91,720",44人,"¥2,085","¥53,199","¥150,790",89人,"¥1,694","¥79,439","¥12,502",,,,,,"¥12,502",,,,,,,
2025/1/5,日,晴,4℃,10℃,"¥55,080",44人,"¥1,252","¥36,470","¥71,870",50人,"¥1,437","¥20,640","¥126,950",94人,"¥1,351","¥57,110","¥22,137",,,,,,"¥22,137",,,,,,,
2025/1/6,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/1/7,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/1/8,水,晴,2℃,7℃,"¥59,440",39人,"¥1,524",,"¥72,410",39人,"¥1,857","¥86,160","¥131,850",78人,"¥1,690","¥86,160","¥47,660",,,,,,"¥47,660",,,,,,,
2025/1/9,木,晴,0℃,7℃,"¥42,520",28人,"¥1,519","¥19,900","¥95,060",51人,"¥1,864","¥51,610","¥137,580",79人,"¥1,742","¥71,510",,,"¥6,710",,,,"¥6,710",,,,,,,
2025/1/10,金,曇り/晴,-3℃,5℃,"¥31,640",23人,"¥1,376","¥16,800","¥123,530",75人,"¥1,647","¥78,660","¥155,170",98人,"¥1,583","¥95,460",,"¥5,444","¥16,845",,,,"¥22,289",,,,,,,
