日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,"昼出勤者(""、""区切り)","夜出勤者(""、""区切り)",記載者,イベント・一言
2022/10/1,土,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/10/2,日,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/10/3,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/10/4,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/10/5,水,晴/雨,21℃,26℃,"¥46,630",46人,"¥1,013.70",,"¥99,580",60人,"¥1,659.67",¥0,"¥146,210",106人,"¥1,379",,,,,,¥0,,,,
2022/10/6,木,曇り,17℃,22℃,"¥31,246",34人,¥919.00,,"¥68,984",18人,"¥3,832.44",¥0,"¥100,230",52人,"¥1,928",,,,,,¥0,,,,
2022/10/7,金,曇り/雨,15℃,18℃,"¥23,720",19人,"¥1,248.42",,"¥77,260",50人,"¥1,545.20",¥0,"¥100,980",69人,"¥1,463",,,,,,¥0,,,,
2022/10/8,土,曇り/晴,16℃,21℃,"¥67,370",55人,"¥1,224.91",,"¥95,350",54人,"¥1,765.74",¥0,"¥162,720",109人,"¥1,493",,,,,,¥0,,,,
2022/10/9,日,雨/曇り,14℃,20℃,"¥53,260",47人,"¥1,133.19",,"¥77,420",37人,"¥2,092.43",¥0,"¥130,680",84人,"¥1,556",,,,,,¥0,,,,
2022/10/10,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/10/11,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
